"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	55504	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	212628	Suppressed
	"Barbour County, AL"	"01005"	0	25270	Unreliable
	"Bibb County, AL"	"01007"	Suppressed	22668	Suppressed
	"Blount County, AL"	"01009"	Suppressed	58013	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	10309	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19825	Suppressed
	"Calhoun County, AL"	"01015"	15	114728	Unreliable
	"Chambers County, AL"	"01017"	Suppressed	33713	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25857	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	44067	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	12945	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	24083	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13367	Suppressed
	"Cleburne County, AL"	"01029"	0	14900	Unreliable
	"Coffee County, AL"	"01031"	Suppressed	51874	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54500	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12469	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10754	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37092	Suppressed
	"Crenshaw County, AL"	"01041"	0	13871	Unreliable
	"Cullman County, AL"	"01043"	Suppressed	82755	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49226	Suppressed
	"Dallas County, AL"	"01047"	11	39215	Unreliable
	"DeKalb County, AL"	"01049"	Suppressed	71617	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	81677	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	37447	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	102755	Suppressed
	"Fayette County, AL"	"01057"	0	16468	Unreliable
	"Franklin County, AL"	"01059"	Suppressed	31495	Suppressed
	"Geneva County, AL"	"01061"	0	26421	Unreliable
	"Greene County, AL"	"01063"	0	8330	Unreliable
	"Hale County, AL"	"01065"	Suppressed	14812	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17147	Suppressed
	"Houston County, AL"	"01069"	Suppressed	104346	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	51909	Suppressed
	"Jefferson County, AL"	"01073"	145	659197	22.0
	"Lamar County, AL"	"01075"	0	13946	Unreliable
	"Lauderdale County, AL"	"01077"	Suppressed	92538	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	33049	Suppressed
	"Lee County, AL"	"01081"	13	161604	Unreliable
	"Limestone County, AL"	"01083"	Suppressed	94402	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	10076	Suppressed
	"Macon County, AL"	"01087"	10	18755	Unreliable
	"Madison County, AL"	"01089"	30	361046	8.3
	"Marengo County, AL"	"01091"	Suppressed	19375	Suppressed
	"Marion County, AL"	"01093"	Suppressed	29833	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	95548	Suppressed
	"Mobile County, AL"	"01097"	67	413955	16.2
	"Monroe County, AL"	"01099"	Suppressed	21327	Suppressed
	"Montgomery County, AL"	"01101"	51	226646	22.5
	"Morgan County, AL"	"01103"	Suppressed	118818	Suppressed
	"Perry County, AL"	"01105"	0	9339	Unreliable
	"Pickens County, AL"	"01107"	0	20176	Unreliable
	"Pike County, AL"	"01109"	Suppressed	33267	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22670	Suppressed
	"Russell County, AL"	"01113"	10	57045	Unreliable
	"St. Clair County, AL"	"01115"	Suppressed	88199	Suppressed
	"Shelby County, AL"	"01117"	Suppressed	213605	Suppressed
	"Sumter County, AL"	"01119"	Suppressed	12687	Suppressed
	"Talladega County, AL"	"01121"	12	80065	Unreliable
	"Tallapoosa County, AL"	"01123"	Suppressed	40681	Suppressed
	"Tuscaloosa County, AL"	"01125"	15	207811	Unreliable
	"Walker County, AL"	"01127"	Suppressed	64058	Suppressed
	"Washington County, AL"	"01129"	0	16531	Unreliable
	"Wilcox County, AL"	"01131"	Suppressed	10719	Suppressed
	"Winston County, AL"	"01133"	0	23722	Unreliable
	"Aleutians East Borough, AK"	"02013"	0	3370	Unreliable
	"Aleutians West Census Area, AK"	"02016"	0	5763	Unreliable
	"Anchorage Borough, AK"	"02020"	28	294356	9.5
	"Bethel Census Area, AK"	"02050"	Suppressed	18076	Suppressed
	"Bristol Bay Borough, AK"	"02060"	0	867	Unreliable
	"Denali Borough, AK"	"02068"	0	2074	Unreliable
	"Dillingham Census Area, AK"	"02070"	0	4932	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	99703	Suppressed
	"Haines Borough, AK"	"02100"	0	2526	Unreliable
	"Hoonah-Angoon Census Area, AK"	"02105"	0	2145	Unreliable
	"Juneau Borough, AK"	"02110"	0	32094	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	58617	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13856	Suppressed
	"Kodiak Island Borough, AK"	"02150"	0	13448	Unreliable
	"Lake and Peninsula Borough, AK"	"02164"	0	1620	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	106532	Suppressed
	"Nome Census Area, AK"	"02180"	0	9921	Unreliable
	"North Slope Borough, AK"	"02185"	Suppressed	9782	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	0	7684	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	0	3281	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	0	6443	Unreliable
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	Suppressed	8689	Suppressed
	"Skagway Municipality, AK"	"02230"	0	1157	Unreliable
